
Image Name                     PID Session Name        Session#    Mem Usage
SearchIndexer.exe             6152 Services                   0     54,108 K
svchost.exe                   6164 Services                   0     12,388 K
dllhost.exe                   6732 Services                   0     11,100 K
AggregatorHost.exe            2728 Services                   0      9,260 K
svchost.exe                   3932 Services                   0     16,876 K
svchost.exe                   7276 Services                   0      7,684 K
svchost.exe                   7644 Services                   0     19,656 K
BraveCrashHandler.exe         7880 Services                   0        212 K
BraveCrashHandler64.exe       7924 Services                   0        252 K
svchost.exe                   7304 Services                   0     10,940 K
NisSrv.exe                    8552 Services                   0     12,640 K
svchost.exe                   8780 Services                   0      8,996 K
svchost.exe                   9032 Services                   0      6,716 K
svchost.exe                   9152 Services                   0      8,988 K
dasHost.exe                  10276 Services                   0     11,012 K
svchost.exe                  10340 Services                   0      7,652 K
SecurityHealthService.exe    10780 Services                   0     15,996 K
svchost.exe                  11100 Services                   0     16,384 K
svchost.exe                  12672 Services                   0     10,208 K
svchost.exe                  11752 Services                   0     11,168 K
svchost.exe                  13796 Services                   0     12,168 K
svchost.exe                  12856 Services                   0     11,532 K
svchost.exe                   1668 Services                   0     21,464 K
csrss.exe                    10916 Console                    2      7,048 K
winlogon.exe                  1108 Console                    2     10,712 K
fontdrvhost.exe               4116 Console                    2      5,388 K
dwm.exe                       5152 Console                    2    178,036 K
NVDisplay.Container.exe       5404 Console                    2     38,548 K
sihost.exe                    3272 Console                    2     28,936 K
svchost.exe                  10072 Console                    2     31,920 K
igfxEM.exe                   13148 Console                    2     13,640 K
svchost.exe                  12960 Console                    2     35,656 K
taskhostw.exe                 8136 Console                    2     19,280 K
explorer.exe                 12000 Console                    2    205,296 K
svchost.exe                   6656 Console                    2     21,612 K
SearchApp.exe                12820 Console                    2     68,496 K
RuntimeBroker.exe            11012 Console                    2     34,828 K
StartMenuExperienceHost.e     1488 Console                    2     74,220 K
msedgewebview2.exe           12136 Console                    2     87,796 K
ctfmon.exe                    4520 Console                    2     22,608 K
msedgewebview2.exe           13820 Console                    2     13,732 K
RuntimeBroker.exe             6428 Console                    2     34,744 K
msedgewebview2.exe           13052 Console                    2     33,256 K
msedgewebview2.exe           10956 Console                    2     53,652 K
msedgewebview2.exe           10480 Console                    2     17,112 K
msedgewebview2.exe             976 Console                    2     65,692 K
svchost.exe                  13440 Console                    2     25,668 K
SearchApp.exe                11060 Console                    2    106,272 K
SynTPEnh.exe                 10124 Console                    2     19,660 K
LockApp.exe                  14308 Console                    2     56,824 K
RuntimeBroker.exe            10940 Console                    2     18,724 K
RuntimeBroker.exe             2952 Console                    2     35,444 K
SecurityHealthSystray.exe     7196 Console                    2      9,588 K
RtkNGUI64.exe                 6068 Console                    2     15,892 K
OneDrive.exe                  3564 Console                    2     95,240 K
uTorrent.exe                  7952 Console                    2     23,408 K
utorrentie.exe               12740 Console                    2     15,360 K
utorrentie.exe               12388 Console                    2     15,208 K
OneDrive.Sync.Service.exe    10424 Console                    2     73,732 K
utorrentie.exe               13648 Console                    2     12,876 K
msedgewebview2.exe           12608 Console                    2    113,240 K
msedgewebview2.exe            1532 Console                    2     10,096 K
msedgewebview2.exe            4652 Console                    2     38,804 K
msedgewebview2.exe           10944 Console                    2     37,676 K
msedge.exe                    2212 Console                    2    135,684 K
msedgewebview2.exe            2920 Console                    2     18,964 K
msedgewebview2.exe            2540 Console                    2     38,640 K
msedgewebview2.exe            9072 Console                    2     42,396 K
msedge.exe                    7748 Console                    2      9,932 K
elevation_service.exe         9832 Services                   0      8,976 K
msedge.exe                    4604 Console                    2     33,024 K
